,Column,real_search,ingredient,page_title,episode_no,Title,airdate,episode_notes,page_url,description
11,11,,Aleppo Pepper,Aleppo pepper,199,Sweet Surprises,7/16/2013,All courses had a sweet as a required ingredient. These sweet ingredients were hidden under a separate cloche.,http://en.wikipedia.org/wiki/Aleppo_pepper,"The Aleppo pepper (Arabic: فلفل حلبي‎, known as pul biber (flake pepper) in Turkish) is a variety of Capsicum annuum used as a spice, particularly in Middle Eastern and Mediterranean cuisine. Also known as the Halaby pepper, it starts as pods which ripen to a burgundy color and is then semi-dried, de-seeded, then crushed or coarsely ground. The pepper is named after Aleppo, a long-inhabited city along the Silk Road in northern Syria, and is grown in Syria and Turkey.
Although a common condiment, its use in the United States outside of Armenian, Syrian and Turkish immigrant communities was rare until the 20th century, with one source (Los Angeles magazine) dating its rise in use among the broader U.S. "
12,12,,Aleppo Pepper,Aleppo pepper,90,Sweet Second Chance!,7/26/2011,"This episode featured four past non-winners. This was the first ""redemption"" episode to feature a non-runner-up as well as the first to feature two chefs from the same previous episode. Chef Magris slipped and fell during the entrée round. She spilled boiling water on herself, causing second-degree burns on both her legs. The judges gave Chef Magris the option to bow out of the competition before the judging in that round, but she elected to continue. Although Chef Nitahara won, he gave the $10,000 prize to Chef Magris so she could visit her ill grandmother in France.",http://en.wikipedia.org/wiki/Aleppo_pepper,"The Aleppo pepper (Arabic: فلفل حلبي‎, known as pul biber (flake pepper) in Turkish) is a variety of Capsicum annuum used as a spice, particularly in Middle Eastern and Mediterranean cuisine. Also known as the Halaby pepper, it starts as pods which ripen to a burgundy color and is then semi-dried, de-seeded, then crushed or coarsely ground. The pepper is named after Aleppo, a long-inhabited city along the Silk Road in northern Syria, and is grown in Syria and Turkey.
Although a common condiment, its use in the United States outside of Armenian, Syrian and Turkish immigrant communities was rare until the 20th century, with one source (Los Angeles magazine) dating its rise in use among the broader U.S. "
13,13,,Alfredo Sauce,Fettuccine Alfredo,196,"Big Fish, Small Basket",6/27/2013,"Chef Eakins works at Ditch Plains, which is owned by Chopped judge Marc Murphy.",http://en.wikipedia.org/wiki/Fettuccine_Alfredo,"Fettuccine Alfredo is a pasta dish made from fettuccine pasta tossed with Parmigiano-Reggiano cheese and butter. As the cheese melts, it emulsifies the liquids to form a smooth and rich coating on the pasta. This denomination is a synonim for pasta with butter and parmesan (Italian: pasta al burro e parmigiano), one of the oldest and simplest way to prepare pasta, and it was named by a Roman restaurateur, Alfredo Di Lelio. While the denomination ""Fettuccine Alfredo"" is especially popular in the United States, in Italy the dish is largely unknown under that name. "
14,14,,Alligator,Alligator,232,Chopped Tournament of Stars: Sports Stars!,3/9/2014,"Part 1 of 5. Competing for $50,000 towards a charity.",http://en.wikipedia.org/wiki/Alligator,An alligator is a crocodilian in the genus Alligator of the family Alligatoridae. The two living species are the American alligator (A. mississippiensis) and the Chinese alligator (A. sinensis).
15,15,Alligator,Alligator Tenderloin,,57,"$50,000 Tournament: Round Two",9/7/2010,,,
16,16,,Almond Butter,Almond butter,4,"Banana, Collard Greens, Grits",2/3/2009,"In the appetizer round, Chef Chuboda refused to use bananas in his dish, leading to his elimination. In the dessert round, Chef Gonzalez accidentally used salt instead of sugar in his dish, asserting that this resulted in his elimination.",http://en.wikipedia.org/wiki/Almond_butter,"Almond butter is a food paste made from almonds. Almond butter may be crunchy or smooth, and is generally ""stir"" (susceptible to oil separation) or ""no-stir"" (emulsified). Almond butter may be either raw or roasted, describing the almonds themselves prior to grinding. "
17,17,,Almond Butter,Almond butter,51,Crunch Time,7/6/2010,,http://en.wikipedia.org/wiki/Almond_butter,"Almond butter is a food paste made from almonds. Almond butter may be crunchy or smooth, and is generally ""stir"" (susceptible to oil separation) or ""no-stir"" (emulsified). Almond butter may be either raw or roasted, describing the almonds themselves prior to grinding. "
18,18,,Almond Butter,Almond butter,83,Get it Together,6/7/2011,,http://en.wikipedia.org/wiki/Almond_butter,"Almond butter is a food paste made from almonds. Almond butter may be crunchy or smooth, and is generally ""stir"" (susceptible to oil separation) or ""no-stir"" (emulsified). Almond butter may be either raw or roasted, describing the almonds themselves prior to grinding. "
19,19,,Almond Butter,Almond butter,172,Just for the Halibut,3/12/2013,,http://en.wikipedia.org/wiki/Almond_butter,"Almond butter is a food paste made from almonds. Almond butter may be crunchy or smooth, and is generally ""stir"" (susceptible to oil separation) or ""no-stir"" (emulsified). Almond butter may be either raw or roasted, describing the almonds themselves prior to grinding. "
20,20,,Almond Butter,Almond butter,193,Cleaver Fever,6/11/2013,,http://en.wikipedia.org/wiki/Almond_butter,"Almond butter is a food paste made from almonds. Almond butter may be crunchy or smooth, and is generally ""stir"" (susceptible to oil separation) or ""no-stir"" (emulsified). Almond butter may be either raw or roasted, describing the almonds themselves prior to grinding. "
21,21,Peanut butter cookie,Almond Butter Cookies,,47,Quahog Quandaries and Pickle Puzzles,6/8/2010,This is the first episode to feature an all-female panel of judges.,,
22,22,Peanut butter cookie,Almond Butter Cookies,,156,Unsung Heroes,11/6/2012,"This episodes featured four ""unsung heroes"": people who volunteer in their communities.",,
23,23,,Almond Flour,Almond meal,133,Sunny Side Apps,6/5/2012,Each basket included a type of candy.,http://en.wikipedia.org/wiki/Almond_meal,"Almond meal, almond flour or ground almond is made from ground sweet almonds. Almond flour is usually made with blanched almonds (no skin), whereas almond meal can be made both with whole or blanched almonds. The consistency is more like corn meal than wheat flour.
It is used in pastry and confectionery– in the manufacture of almond macarons and other sweet pastries, in cake and pie filling, such as Sachertorte and is one of the two main ingredients of marzipan and almond paste. "
24,24,,Almond Flour,Almond meal,171,Chopped Champions: Finale,2/12/2013,"This was the finale in a series of episodes featuring returning champions, with this episode's winner receiving $50,000.",http://en.wikipedia.org/wiki/Almond_meal,"Almond meal, almond flour or ground almond is made from ground sweet almonds. Almond flour is usually made with blanched almonds (no skin), whereas almond meal can be made both with whole or blanched almonds. The consistency is more like corn meal than wheat flour.
It is used in pastry and confectionery– in the manufacture of almond macarons and other sweet pastries, in cake and pie filling, such as Sachertorte and is one of the two main ingredients of marzipan and almond paste. "
25,25,,Almond Paste,Almond paste,72,All-Stars Tournament: Round Two - Food Network Personalities,3/13/2011,,http://en.wikipedia.org/wiki/Almond_paste,"Almond paste is made from ground almonds or almond meal and sugar in equal quantities, with small amounts of cooking oil, beaten eggs, heavy cream or corn syrup added as a binder. It is similar to marzipan. Almond paste is used as a filling in pastries, but it can also be found in chocolates and as a higher quality alternative[citation needed] to marzipan. In commercially manufactured almond paste, ground apricot or peach kernels are sometimes added to keep the cost down (also known as persipan).
"
26,26,,Almonds,Almond,207,Sports Stars,9/3/2013,All of the chefs are sports stars.,http://en.wikipedia.org/wiki/Almond,"The almond (Prunus dulcis, syn. Prunus amygdalus, Amygdalus communis, Amygdalus dulcis) (or badam in Indian English, from Persian: بادام‎) is a species of tree native to the Middle East and South Asia. ""Almond"" is also the name of the edible and widely cultivated seed of this tree. Within the genus Prunus, it is classified with the peach in the subgenus Amygdalus, distinguished from the other subgenera by the corrugated shell (endocarp) surrounding the seed.
"
27,27,,Aloe Vera Juice,Aloe vera,81,Have a Heart,5/24/2011,,http://en.wikipedia.org/wiki/Aloe_vera,"Aloe vera is a succulent plant species that is found only in cultivation, having no naturally occurring populations, although closely related aloes do occur in northern Africa. The species is frequently cited as being used in herbal medicine since the beginning of the first century AD. Extracts from A. vera are widely used in the cosmetics and alternative medicine industries, being marketed as variously having rejuvenating, healing, or soothing properties. "
28,28,,Amaranth Grain,Amaranth grain,50,Green Apps and Lamb,6/29/2010,,http://en.wikipedia.org/wiki/Amaranth_grain,"Amaranth has been cultivated as a grain for 8,000 years. The yield of grain amaranth is comparable to rice or maize. It was a staple food of the Aztecs, and was used as an integral part of Aztec religious ceremonies. The cultivation of amaranth was banned by the conquistadores upon their conquest of the Aztec nation. "
29,29,,Amaranth Grain,Amaranth grain,171,Chopped Champions: Finale,2/12/2013,"This was the finale in a series of episodes featuring returning champions, with this episode's winner receiving $50,000.",http://en.wikipedia.org/wiki/Amaranth_grain,"Amaranth has been cultivated as a grain for 8,000 years. The yield of grain amaranth is comparable to rice or maize. It was a staple food of the Aztecs, and was used as an integral part of Aztec religious ceremonies. The cultivation of amaranth was banned by the conquistadores upon their conquest of the Aztec nation. "
30,30,,Amaretti Cookies,Macaroon,142,Belly Dance!,7/31/2012,,http://en.wikipedia.org/wiki/Macaroon,"A macaroon (/mækəˈruːn/ mak-ə-ROON) is a type of light, baked confection, described as meringue-like cookies depending on their consistency. The original macaroon was a ""small sweet cake consisting largely of ground almonds"" similar to Italian amaretti.
The English word macaroon and French macaron come from the Italian maccarone or maccherone. This word is itself derived from ammaccare, meaning to bruise, used here in reference to the almond paste which is the principal ingredient.
"
31,31,,Amaretti Cookies,Macaroon,182,Without Missing a Beet,4/30/2013,,http://en.wikipedia.org/wiki/Macaroon,"A macaroon (/mækəˈruːn/ mak-ə-ROON) is a type of light, baked confection, described as meringue-like cookies depending on their consistency. The original macaroon was a ""small sweet cake consisting largely of ground almonds"" similar to Italian amaretti.
The English word macaroon and French macaron come from the Italian maccarone or maccherone. This word is itself derived from ammaccare, meaning to bruise, used here in reference to the almond paste which is the principal ingredient.
"
32,32,,Amarone Wine,Valpolicella,,Dread and Breakfast,3/18/2014,"The three rounds this time were Breakfast, lunch, and dinner.",http://en.wikipedia.org/wiki/Valpolicella,"Valpolicella is a viticultural zone of the province of Verona, Italy, east of Lake Garda. The hilly agricultural and marble-quarrying region of small holdings north of the Adige is famous for wine production. Valpolicella ranks just after Chianti in total Italian Denominazione di Origine Controllata (DOC) wine production.
The red wine known as Valpolicella is typically made from three grape varieties: Corvina Veronese, Rondinella, and Molinara. "
33,33,,American Cheese,American cheese,137,All-American Competition,7/3/2012,Each basket contained American staple-themed ingredients.,http://en.wikipedia.org/wiki/American_cheese,"American cheese is one type of processed cheese. It can be orange, yellow, or white in color; is mild and faintly sweet in flavor; has a medium-firm consistency; and, a very low melting point. American cheese was originally only white in color—as it had been made from a blend of cheeses (most often Colby and Cheddar)—however, the modern version can also be artificially colored to a yellowish hue. Today’s American cheese is generally no longer made from blended natural cheeses; instead, it is industrially manufactured from a set of ingredients such as milk; whey; milkfat; milk protein concentrate; whey protein concentrate; saturated oil(s); emulsifiers; and salt. "
34,34,,Ancho Chiles,Poblano,5,"Yucca, Watermelon, Tortillas",2/10/2009,,http://en.wikipedia.org/wiki/Poblano,"The poblano is a mild chili pepper originating in the state of Puebla, Mexico. Dried, it is called a chile ancho (""wide chile""). The ripened red poblano is significantly hotter and more flavorful than the less ripe, green poblano. While poblanos tend to have a mild flavor, occasionally and unpredictably, they can have significant heat. "
35,35,,Ancho Chiles,Poblano,156,Unsung Heroes,11/6/2012,"This episodes featured four ""unsung heroes"": people who volunteer in their communities.",http://en.wikipedia.org/wiki/Poblano,"The poblano is a mild chili pepper originating in the state of Puebla, Mexico. Dried, it is called a chile ancho (""wide chile""). The ripened red poblano is significantly hotter and more flavorful than the less ripe, green poblano. While poblanos tend to have a mild flavor, occasionally and unpredictably, they can have significant heat. "
36,36,,Anchovies,Anchovy,4,"Banana, Collard Greens, Grits",2/3/2009,"In the appetizer round, Chef Chuboda refused to use bananas in his dish, leading to his elimination. In the dessert round, Chef Gonzalez accidentally used salt instead of sugar in his dish, asserting that this resulted in his elimination.",http://en.wikipedia.org/wiki/Anchovy,"Anchovies are a family (Engraulidae) of small, common salt-water forage fish. The 144 species are placed in 17 genera; they are found in the Atlantic, Indian, and Pacific Oceans. Anchovies are usually classified as oily fish.
"
37,37,,Anchovies,Anchovy,41,My Froggy Clementine,4/13/2010,,http://en.wikipedia.org/wiki/Anchovy,"Anchovies are a family (Engraulidae) of small, common salt-water forage fish. The 144 species are placed in 17 genera; they are found in the Atlantic, Indian, and Pacific Oceans. Anchovies are usually classified as oily fish.
"
38,38,,Anchovies,Anchovy,106,Class Acts,11/22/2011,Each of the chefs in this episode is a chef in a school cafeteria.  Judge Sam Kass is an assistant chef in the White House as well a senior policy advisor on healthy food initiatives.  This episode was part of a Food Network initiative with Share Our Strength to promote children's nutrition and to combat hunger in children.,http://en.wikipedia.org/wiki/Anchovy,"Anchovies are a family (Engraulidae) of small, common salt-water forage fish. The 144 species are placed in 17 genera; they are found in the Atlantic, Indian, and Pacific Oceans. Anchovies are usually classified as oily fish.
"
39,39,,Andouille Sausage,Andouille,136,Pride of New Orleans,6/26/2012,This episode featured four chefs from New Orleans. The basket ingredients were also inspired by the New Orleans theme.,http://en.wikipedia.org/wiki/Andouille,"Andouille (/ænˈduːi/ an-DOO-ee in US English; French pronunciation: ​[ɑ̃nduj]) is a smoked sausage made using pork, originating on the German Coast of Louisiana by the German immigrants and Acadian exiles that would merge to create much of Cajun culture. It is distinguished in some varieties by its use of the entire gastrointestinal system of the pig.
"
40,40,,Angel Food Cake,Angel food cake,187,Cook Your Butt Off!,5/30/2013,Each of the chefs had lost significant amounts of weight through better diet and exercise.,http://en.wikipedia.org/wiki/Angel_food_cake,"Angel Food cake, or Angel cake, is a type of sponge cake originated in the United States that first became popular in the late 19th century. It is so named because of its airy lightness that was said to be the ""food of the angels"".
"
41,41,Animal cracker,Animal Crackers,,1,"Octopus, Duck, Animal Crackers",1/13/2009,,,
42,42,Animal cracker,Animal Crackers,,73,All-Stars Tournament: Round Three - Notable Chefs,3/20/2011,"In the appetizer round, Chef Torres used (cocoa nibs) that he brought with him, which were not available in the pantry. The judges felt that this was contrary to the rules and cited it as the reason for his elimination.",,
43,43,,Anise Liqueur,List of liqueurs,173,Redemption Intention,3/19/2013,This episode featured four past runners-up.,http://en.wikipedia.org/wiki/List_of_liqueurs,"Liqueurs are alcoholic beverages that are bottled with added sugar and have added flavors that are usually derived from fruits, herbs, or nuts.
Liqueurs are distinct from eaux-de-vie, fruit brandy, and flavored liquors, which contain no added sugar.
Most liqueurs range between 15% and 55% alcohol by volume.
"
44,44,,Anjou Pears,European Pear,153,Charge!,10/9/2012,,http://en.wikipedia.org/wiki/European_Pear,"The European pear Pyrus communis, also known as common pear, is a species of pear native to central and eastern Europe and southwest Asia. It is one of the most important fruits of temperate regions, being the species from which most orchard pear cultivars grown in Europe, North America, and Australia have been developed. Two other species of pears, the Nashi pear, Pyrus pyrifolia, and the Chinese white pear bai li, Pyrus × bretschneideri, are more widely grown in eastern Asia.
"
45,45,,Anzac Biscuits,Anzac biscuit,158,For Sake's Sake,11/20/2012,,http://en.wikipedia.org/wiki/Anzac_biscuit,"An Anzac biscuit is a sweet biscuit popular in Australia and New Zealand made using rolled oats, flour, desiccated coconut, sugar, butter, golden syrup, baking soda and boiling water. Anzac biscuits have long been associated with the Australian and New Zealand Army Corps (ANZAC) established in World War I.
It has been claimed the biscuits were sent by wives to soldiers abroad because the ingredients do not spoil easily and the biscuits kept well during naval transportation. Today, Anzac biscuits are manufactured commercially for retail sale.
"
46,46,Dried fruit,Apple Chips,,156,Unsung Heroes,11/6/2012,"This episodes featured four ""unsung heroes"": people who volunteer in their communities.",,
47,47,Dried fruit,Apple Chips,,227,Bacon Baskets!,2/16/2014,Bacon appears in every basket.,,
48,48,,Apple Cider,Apple cider,33,Flower Power,3/14/2010,,http://en.wikipedia.org/wiki/Apple_cider,"Apple cider (also called sweet cider or soft cider) is the name used in the United States and parts of Canada for an unfiltered, unsweetened, non-alcoholic beverage made from apples. Apple cider is easy and inexpensive to produce. It may be opaque due to fine apple particles in suspension and may be tangier than conventional filtered apple juice, depending on the apples used.
This untreated cider is a seasonally produced drink of limited shelf-life that is typically available only in fall, although it is sometimes frozen for use throughout the year. "
49,49,,Apple Cider,Apple cider,101,"Trick or Treat, Chicken Feet!",10/16/2011,"This was a Halloween-themed episode. The Halloween candy provided in the entrée round was a mixture of traditional Halloween candies, such as candy corn.",http://en.wikipedia.org/wiki/Apple_cider,"Apple cider (also called sweet cider or soft cider) is the name used in the United States and parts of Canada for an unfiltered, unsweetened, non-alcoholic beverage made from apples. Apple cider is easy and inexpensive to produce. It may be opaque due to fine apple particles in suspension and may be tangier than conventional filtered apple juice, depending on the apples used.
This untreated cider is a seasonally produced drink of limited shelf-life that is typically available only in fall, although it is sometimes frozen for use throughout the year. "
50,50,,Apple Cider,Apple cider,234,Chopped Tournament of Stars: Comedians!,3/23/2014,Part 3 of 5.,http://en.wikipedia.org/wiki/Apple_cider,"Apple cider (also called sweet cider or soft cider) is the name used in the United States and parts of Canada for an unfiltered, unsweetened, non-alcoholic beverage made from apples. Apple cider is easy and inexpensive to produce. It may be opaque due to fine apple particles in suspension and may be tangier than conventional filtered apple juice, depending on the apples used.
This untreated cider is a seasonally produced drink of limited shelf-life that is typically available only in fall, although it is sometimes frozen for use throughout the year. "
51,51,,Apple Pie,Apple pie,137,All-American Competition,7/3/2012,Each basket contained American staple-themed ingredients.,http://en.wikipedia.org/wiki/Apple_pie,"An apple pie is a fruit pie (or tart) in which the principal filling ingredient is apples. It is sometimes served with whipped cream or ice cream on top, or alongside cheddar cheese. Pastry is generally used top-and-bottom, making it a double-crust pie, the upper crust of which may be a circular shaped crust or a pastry lattice woven of strips; exceptions are deep-dish apple pie with a top crust only, and open-face Tarte Tatin.
"
52,52,,Applesauce,Apple sauce,98,Champions' Tournament: Grand Finale,9/27/2011,,http://en.wikipedia.org/wiki/Apple_sauce,"Apple sauce or applesauce is a purée made of apples. It can be made with peeled or unpeeled apples and a variety of spices (commonly cinnamon and allspice). Flavorings or sweeteners such as sugar or honey are also commonly added. Apple sauce is inexpensive and is widely used in the United States and some European countries.
"
53,53,,Applesauce,Apple sauce,216,Cloche Call,11/19/2013,Chefs Josh and Mike are brothers with Josh being older.,http://en.wikipedia.org/wiki/Apple_sauce,"Apple sauce or applesauce is a purée made of apples. It can be made with peeled or unpeeled apples and a variety of spices (commonly cinnamon and allspice). Flavorings or sweeteners such as sugar or honey are also commonly added. Apple sauce is inexpensive and is widely used in the United States and some European countries.
"
54,54,,Apple Strudel,Apple strudel,171,Chopped Champions: Finale,2/12/2013,"This was the finale in a series of episodes featuring returning champions, with this episode's winner receiving $50,000.",http://en.wikipedia.org/wiki/Apple_strudel,"Apple strudel (German: Apfelstrudel) is a traditional Viennese strudel, a popular pastry in Austria and in many countries in Europe that once belonged to the Austro-Hungarian empire (1867–1918).
"
55,55,,Apples,Apple,97,Champions' Tournament: Part 4,9/20/2011,,http://en.wikipedia.org/wiki/Apple,"The apple is the pomaceous fruit of the apple tree, species Malus domestica in the rose family (Rosaceae). It is one of the most widely cultivated tree fruits, and the most widely known of the many members of genus Malus that are used by humans. Apples grow on small, deciduous trees. The tree originated in Central Asia, where its wild ancestor, Malus sieversii, is still found today. "
56,56,,Applesauce,Apple sauce,34,Sweet Redemption,3/21/2010,This was the first episode to feature four past runners-up.,http://en.wikipedia.org/wiki/Apple_sauce,"Apple sauce or applesauce is a purée made of apples. It can be made with peeled or unpeeled apples and a variety of spices (commonly cinnamon and allspice). Flavorings or sweeteners such as sugar or honey are also commonly added. Apple sauce is inexpensive and is widely used in the United States and some European countries.
"
57,57,,Apricot Paste,Dried fruit,61,Spouting Off,10/5/2010,,http://en.wikipedia.org/wiki/Dried_fruit,"Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. Dried fruit has a long tradition of use dating back to the fourth millennium BC in Mesopotamia, and is prized because of its sweet taste, nutritive value, and long shelf life.
Today, dried fruit consumption is widespread. Nearly half of the dried fruits sold are raisins, followed by dates, prunes, figs, apricots, peaches, apples and pears. "
58,58,,Apricot Paste,Dried fruit,162,Trout Bout,12/18/2012,,http://en.wikipedia.org/wiki/Dried_fruit,"Dried fruit is fruit from which the majority of the original water content has been removed either naturally, through sun drying, or through the use of specialized dryers or dehydrators. Dried fruit has a long tradition of use dating back to the fourth millennium BC in Mesopotamia, and is prized because of its sweet taste, nutritive value, and long shelf life.
Today, dried fruit consumption is widespread. Nearly half of the dried fruits sold are raisins, followed by dates, prunes, figs, apricots, peaches, apples and pears. "
59,59,,Apricots,Apricot,188,Better Saffron Than Sorry,6/4/2013,Chef Ramborger is the first deaf chef to participate in the show. He was accompanied by interpreter Lydia Callis.,http://en.wikipedia.org/wiki/Apricot,"An apricot is a fruit or the tree that bears the fruit. Usually, an apricot tree is from the tree species Prunus armeniaca, but the species Prunus brigantina, Prunus mandshurica, Prunus mume, and Prunus sibirica are closely related, have similar fruit, and are also called apricots.
"
60,60,Akvavit,Aquavit,,172,Just for the Halibut,3/12/2013,,,
61,61,,Araucana Eggs,Araucana,169,Chopped Champions: Part 3,1/29/2013,,http://en.wikipedia.org/wiki/Araucana,"The Araucana, also known in the United States as a South American Rumpless, is a breed of chicken originating in Chile. It is well known for its blue eggs, which has been a subject of controversy regarding whether or not the breed was developed from birds that arrived pre or post Columbian. The egg colour is reportedly caused by a DNA retrovirus that occurred sometime early in domestication. The Araucana is often confused with other fowl, especially the Ameraucana and Easter Egger.
"
62,62,,Arctic Char,Arctic char,7,"Quail, Arctic Char, Beer",2/24/2009,,http://en.wikipedia.org/wiki/Arctic_char,"Arctic char or Arctic charr, Salvelinus alpinus, is a cold-water fish in the family Salmonidae, native to Arctic, sub-Arctic and alpine lakes and coastal waters. It breeds in fresh water, and populations can be either landlocked or anadromous, migrating to the sea. No other freshwater fish is found as far north; it is, for instance, the only fish species in Lake Hazen on Ellesmere Island in the Canadian Arctic. It is one of the rarest fish species in Britain, found only in deep, cold, glacial lakes, and is at risk from acidification. "
